Gesamtzahl aller Wörter: 75340

Wort                     | POS  | Count | TAG   | Lexikalische Vielfalt
führt                    | VERB | 2     | VVFIN | 0.002654632333421821
weggefahren              | VERB | 3     | VVPP  | 0.003981948500132732
derby                    | NOUN | 6     | NN    | 0.007963897000265464
39                       | NUM  | 4     | CARD  | 0.005309264666843642
evangelische             | ADJ  | 1     | ADJA  | 0.0013273161667109105
automatisch              | ADV  | 1     | ADJD  | 0.0013273161667109105
shenzhen                 | PROPN| 2     | NE    | 0.002654632333421821
sagt                     | VERB | 10    | VVFIN | 0.013273161667109106
jahr                     | NOUN | 73    | NN    | 0.09689408016989647
glastür                  | NOUN | 1     | NN    | 0.0013273161667109105
rechtzeitig              | ADV  | 9     | ADJD  | 0.011945845500398195
darüber                  | ADV  | 4     | PROAV | 0.005309264666843642
umweltschutz             | NOUN | 2     | NN    | 0.002654632333421821
wir                      | PRON | 415   | PPER  | 0.5508362091850278
96.                      | ADJ  | 3     | ADJA  | 0.003981948500132732
krakow                   | PROPN| 1     | NE    | 0.0013273161667109105
gestohlen                | VERB | 11    | VVPP  | 0.014600477833820015
osdorf                   | PROPN| 8     | NE    | 0.010618529333687284
unfällen                 | NOUN | 11    | NN    | 0.014600477833820015
07.02.2019.              | ADJ  | 1     | ADJA  | 0.0013273161667109105
padborg                  | PROPN| 3     | NE    | 0.003981948500132732
14.02.2019.              | ADJ  | 1     | ADJA  | 0.0013273161667109105
weiterspielen            | VERB | 8     | VVINF | 0.010618529333687284
zugfahrt                 | NOUN | 1     | NN    | 0.0013273161667109105
mitgemacht               | VERB | 3     | VVPP  | 0.003981948500132732
04.04.2020.              | ADJ  | 1     | ADJA  | 0.0013273161667109105
31.                      | ADJ  | 3     | ADJA  | 0.003981948500132732
corona-virus             | NOUN | 47    | NN    | 0.062383859835412794
viertgrößte              | ADJ  | 1     | ADJA  | 0.0013273161667109105
stören                   | VERB | 1     | VVFIN | 0.0013273161667109105
solarpark                | NOUN | 7     | NN    | 0.009291213166976373
modeschöpfer             | NOUN | 4     | NN    | 0.005309264666843642
schnellste               | ADJ  | 3     | ADJA  | 0.003981948500132732
kleiner                  | ADJ  | 14    | ADJA  | 0.018582426333952747
corona-partys            | NOUN | 1     | NN    | 0.0013273161667109105
genug                    | DET  | 5     | PIAT  | 0.006636580833554553
971                      | NUM  | 1     | CARD  | 0.0013273161667109105
2024                     | NUM  | 1     | CARD  | 0.0013273161667109105
heide                    | PROPN| 1     | NN    | 0.0013273161667109105
regierungschef           | NOUN | 1     | NN    | 0.0013273161667109105
schlager                 | NOUN | 3     | NN    | 0.003981948500132732
altona                   | PROPN| 13    | NE    | 0.017255110167241836
lebensgefahr             | NOUN | 1     | NN    | 0.0013273161667109105
